date,Population,Annual % Change
1981,24668167,1.03
1982,24916542,1.01
1983,25171436,1.02
1984,25444884,1.09
1985,25744810,1.18
1986,26075498,1.28
1987,26432893,1.37
1988,26806125,1.41
1989,27179502,1.39
1990,27541319,1.33
1991,27888810,1.26
1992,28224409,1.2
1993,28547967,1.15
1994,28860734,1.1
1995,29164152,1.05
1996,29457817,1.01
1997,29742382,0.97
1998,30022073,0.94
1999,30302515,0.93
2000,30588383,0.94
2001,30880073,0.95
2002,31178263,0.97
2003,31488048,0.99
2004,31815494,1.04
2005,32164309,1.1
2006,32536987,1.16
2007,32930794,1.21
2008,33337638,1.24
2009,33746093,1.23
2010,34147564,1.19
2011,34539159,1.15
2012,34922030,1.11
2013,35296528,1.07
2014,35664337,1.04
2015,36026676,1.02
2016,36382944,0.99
2017,36732095,0.96
2018,37074562,0.93
2019,37411047,0.91
